crc32,name,filename,size,type,load_type,status,notes
0CC96513,Top Chrono,Top Chrono (1985) (Loriciels).k7,36316,k7,LOAD,not_tested,
A951B8C7,Top Gun,Top Gun (1987) (FIL).k7,36652,k7,LOAD,not_tested,
D9B72731,Torann Mission Blue 5,Torann Mission Blue 5 (198x) (Loriciels).k7,34587,k7,LOAD,not_tested,
F529BB55,Toutankhamon,Toutankhamon (1985) (No Man's Land) [b1].k7,49152,k7,LOAD,not_tested,
3567168D,Toutankhamon,Toutankhamon (1985) (No Man's Land).k7,40660,k7,LOAD,not_tested,
9DF3FB90,Traitement de Texte,Traitement de Texte (198x) (PD).k7,14904,k7,LOAD,not_tested,
95582D2C,"Tresor du Pirate, Le","Tresor du Pirate, Le (1984) (Free Game Blot).k7",21830,k7,unknown,not_tested,
CD8857F0,Triangle Quelconque,Triangle Quelconque (198x) (PD).k7,8061,k7,LOAD,not_tested,
99DECAFB,Tyrann,Tyrann (1985) (Norsoft) [b1].k7,40668,k7,unknown,not_tested,
506F00CE,Vampire,Vampire (1986) (Infogrames) [b1].k7,40290,k7,unknown,not_tested,
55D6620A,Vampire,Vampire (1986) (Infogrames).k7,40145,k7,unknown,not_tested,
C4A826C4,Vecteurs,Vecteurs (1985) (USTL).k7,17156,k7,LOAD,not_tested,
41DB9A2A,Vision Tester,Vision Tester (1995) (Part 1 of 2) (PD).k7,27021,k7,unknown,not_tested,
84B3B882,Vision Tester,Vision Tester (1995) (Part 2 of 2) (PD).k7,22718,k7,unknown,not_tested,
23A1AAAA,Vol Solo,Vol Solo (1985) (FIL).k7,23772,k7,LOAD,not_tested,
BD51F0D3,Votez Pour Moi,Votez Pour Moi (1985) (Coktel Vision).k7,31541,k7,LOAD,not_tested,
5C7B83BC,Vox Basic,Vox Basic (1984) (Ere Informatique) [a1].k7,12596,k7,LOAD,not_tested,
5187BF2D,Vox Basic,Vox Basic (1984) (Ere Informatique).k7,11817,k7,LOAD,not_tested,
48581305,Voyage au Centre du MO5,Voyage au Centre du MO5 (1985) (Hebdogiciel) (PD) [a1].k7,10462,k7,LOAD,not_tested,
7CBAE7AA,Voyage au Centre du MO5,Voyage au Centre du MO5 (1985) (Hebdogiciel) (PD).k7,26793,k7,LOAD,not_tested,
5B6AA9F3,Wizball,Wizball (1988) (FIL).k7,57925,k7,LOAD,not_tested,
CCA6D3D0,Yahtzee,Yahtzee (1986) (Hebdogiciel) (PD).k7,10652,k7,LOAD,not_tested,
C6F07EE0,Yeti,Yeti (1984) (Loriciels) [a1].k7,13510,k7,LOAD,not_tested,
ADE55EC3,Yeti,Yeti (1984) (Loriciels) [b1].k7,11893,k7,LOADM,not_tested,
C0AE8B53,Yeti,Yeti (1984) (Loriciels).k7,38109,k7,LOAD,not_tested,
7FFB03F5,Yie Ar Kung Fu 2,Yie Ar Kung Fu 2 (1986) (FIL) [a1].k7,32256,k7,LOAD,not_tested,
574D042C,Yie Ar Kung Fu 2,Yie Ar Kung Fu 2 (1986) (FIL).k7,32886,k7,LOAD,not_tested,
