crc32,name,filename,size,type,load_type,status,notes
4736BC44,Espagnol,Espagnol (198x) (Part 1 of 3).k7,145944,k7,LOAD,not_tested,
81B71047,Espagnol,Espagnol (198x) (Part 2 of 3).k7,139023,k7,LOAD,not_tested,
0CC39C4E,Espagnol,Espagnol (198x) (Part 3 of 3).k7,96159,k7,LOAD,not_tested,
AAC5F591,Espagnol,Espagnol (198x).k7,646500,k7,LOAD,not_tested,
8DE38047,Etude de la vitesse instantannee,Etude de la vitesse instantannee (1984) (CNDP).k7,16689,k7,LOAD,not_tested,
2F93BFBD,Europe Facts,Europe Facts (1985) (Vifi-Nathan).k7,22824,k7,LOAD,not_tested,
3E8F1BBA,Extension BASIC MO5,Extension BASIC MO5 (1986) (D.G. Vevy) [a1].k7,7699,k7,LOAD,not_tested,
E77097D0,Extension BASIC MO5,Extension BASIC MO5 (1986) (D.G. Vevy).k7,3801,k7,LOAD,not_tested,
9CAA4E16,F-15 Strike Eagle,F-15 Strike Eagle (1987) (FIL).k7,27898,k7,LOAD,not_tested,
0CA3DD5D,FBI,FBI (1984) (Infogrames).k7,20396,k7,LOAD,not_tested,
61745D72,Felonies,Felonies (1986) (Ere Informatique) [a1].k7,87465,k7,unknown,not_tested,
E705BAE9,Felonies,Felonies (1986) (Ere Informatique).k7,82242,k7,unknown,not_tested,
ED9B3E27,"Fichier des Animaux, Le","Fichier des Animaux, Le (198x) (CNDP) (PD).k7",3234,k7,LOAD,not_tested,
086CEE71,Flipper,Flipper (1984) (Loriciels).k7,42892,k7,LOAD,not_tested,
C41CF39B,Formule 1,Formule 1 (1987) (FIL).k7,68525,k7,LOAD,not_tested,
8A55398A,Fox,Fox (198x) (CFX) [b1].k7,22549,k7,LOADM,not_tested,
8CD5EA61,Fox,Fox (1997) (CFX).k7,32768,k7,LOADM,not_tested,
B5A4C4F1,Frises,Frises (1985) (Cedic-Nathan).k7,18741,k7,LOAD,not_tested,
FBE181D2,Frontier,Frontier (198x) (CDDP).k7,3875,k7,LOAD,not_tested,
12D185CF,Game Over,Game Over (1987) (FIL).k7,56731,k7,LOAD,not_tested,
3FE2DBF3,Geodyssee,Geodyssee (1985) (Coktel Vision).k7,33735,k7,LOAD,not_tested,
8DC36435,Geometrie,Geometrie (1985) (Vifi-Nathan).k7,32484,k7,LOAD,not_tested,
4666351A,"Geste d'Artillac, La","Geste d'Artillac, La (1985) (Infogrames) (Part 1 of 3) [b1].k7",21188,k7,LOADM,not_tested,
93738EED,"Geste d'Artillac, La","Geste d'Artillac, La (1985) (Infogrames) (Part 2 of 3) [b1].k7",98444,k7,LOADM,not_tested,
3BF26F26,"Geste d'Artillac, La","Geste d'Artillac, La (1985) (Infogrames) (Part 3 of 3) [b1].k7",95923,k7,LOADM,not_tested,
D66AEA27,Ghostbuster,Ghostbuster (1989) (Christopher Lesur).k7,10948,k7,LOAD,not_tested,
2DDEA0ED,Glouton,Glouton (1986) (Patrick Abbati) (PD) (Cart) [a1].mo5,16384,cartridge,cartridge,not_tested,
C4F65BFC,Glouton,Glouton (1986) (Patrick Abbati) (PD) (Cart).mo5,16384,cartridge,cartridge,not_tested,
68D02F32,Glouton,Glouton (1986) (Patrick Abbati) (PD).k7,4283,k7,LOAD,not_tested,
3B887C4B,Golf,Golf (198x).k7,15753,k7,LOAD,not_tested,
0C6ED22D,Gravitron,Gravitron (1985) (FIL) [a1].k7,10885,k7,LOAD,not_tested,
B8E1C174,Gravitron,Gravitron (1985) (FIL).k7,9077,k7,LOAD,not_tested,
4AB433E9,Green Beret,Green Beret (1986) (FIL) [a1].k7,49152,k7,LOAD,not_tested,
0F93B01F,Green Beret,Green Beret (1986) (FIL).k7,33241,k7,LOAD,not_tested,
61F0D851,"Grignote 2, La","Grignote 2, La (1989) (Remi Coulom) (PD).k7",3030,k7,LOAD,not_tested,
930D4E3C,Grsang,Grsang (198x) (CNDP).k7,23601,k7,LOAD,not_tested,
6F367AB2,Histogra,Histogra (1985) (FIL).k7,14447,k7,LOAD,not_tested,
4768FACE,Histoire de France,Histoire de France (198x) (MPS Diffusion).k7,164845,k7,LOAD,not_tested,
2CC96102,HMS Cobra,HMS Cobra (198x) (Cobra Soft).k7,67369,k7,LOAD,not_tested,
E8A2C3B6,Horloge,Horloge (1984) (USTL).k7,8693,k7,LOAD,not_tested,
3937A9BD,Id,Id (198x) (PD).k7,629,k7,LOAD,not_tested,
72556033,Identif,Identif (198x) (PD).k7,629,k7,LOAD,not_tested,
A67CDD78,Identite,Identite (1985) (USTL).k7,19742,k7,LOAD,not_tested,
B3845223,Imperialis,Imperialis (1985) (Coktel Vision).k7,24396,k7,LOAD,not_tested,
9CB63E6D,Impri,Impri (198x) (PD).k7,2029,k7,LOAD,not_tested,
B6A31C35,Indiana Thom,Indiana Thom (198x) (Sprites).k7,21952,k7,LOAD,not_tested,
98E4C723,Inequations,Inequations (198x).k7,25881,k7,LOAD,not_tested,
44C70AB1,Initiation aux Echecs,Initiation aux Echecs (1984) (Vifi-Nathan).k7,40029,k7,LOAD,not_tested,
32895237,Interieur Exterieur,Interieur Exterieur (198x) (Francoise Monnet).k7,13280,k7,LOAD,not_tested,
29D8EFF5,"Invasion des chiffres, L'","Invasion des chiffres, L' (198x) (Nathan Ecoles).k7",18746,k7,unknown,not_tested,
DACD4A41,Isabelle et le Dragon,Isabelle et le Dragon (1986) (Hebdogiciel) (PD).k7,20234,k7,LOAD,not_tested,
95740FD4,Island,Island (1984) (Micro Application & Informatics).k7,32502,k7,LOAD,not_tested,
6472C89B,James Debug - Le Grand Saut,James Debug - Le Grand Saut (1986) (Coktel Vision) [b1].k7,45256,k7,LOAD,not_tested,
25955A0A,Jauge,Jauge (1984) (CNDP).k7,11107,k7,LOAD,not_tested,
3DAC3985,Jeu de Boole,Jeu de Boole (198x) (Hatier).k7,18390,k7,unknown,not_tested,
6FBE9E56,Jeu de Dames Americain,Jeu de Dames Americain (1987) (FIL).k7,11985,k7,LOAD,not_tested,
A916D3AC,Jumpman,Jumpman (1997) (Alexandre Pukall) [b1].k7,32768,k7,LOAD,not_tested,
8CB49839,Jungle Hero,Jungle Hero (198x) (SoftBook).k7,92170,k7,LOAD,not_tested,
B4EFADC2,Kanicula,Kanicula (1984) (To Tek).k7,14293,k7,unknown,not_tested,
5557EAA4,Karate,Karate (1985) (Infogrames) [b1].k7,34853,k7,LOADM,not_tested,
F9A5B85A,Karate,Karate (1985) (Infogrames).k7,33912,k7,LOADM,not_tested,
F8730104,Khronos,Khronos (1986) (Coktel Vision).k7,48948,k7,unknown,not_tested,
748C99BE,Krakout,Krakout (1987) (FIL).k7,45889,k7,LOAD,not_tested,
83A76D0C,Labyrinthe,Labyrinthe (1986) (DC) (PD).k7,6654,k7,LOAD,not_tested,
3550E148,Labyrinthe Survie,Labyrinthe Survie (1984) (Vifi-Nathan).k7,10455,k7,unknown,not_tested,
FAA75CB5,Liratt,Liratt (198x) (PD).k7,3464,k7,LOAD,not_tested,
55472E7B,Lirfic,Lirfic (198x) (PD).k7,1632,k7,LOAD,not_tested,
0A88A630,Logo v1.0,Logo v1.0 (1984) (Soli) (Cart).mo5,16384,cartridge,cartridge,not_tested,
1C7FD158,Lorann,Lorann (1985) (Loriciels).k7,38582,k7,LOAD,not_tested,
E5A7E6AF,Ludo OP1,Ludo OP1 (1985) (Edumicro).k7,17382,k7,unknown,not_tested,
0EAFE078,"Malediction de Thaar, La","Malediction de Thaar, La (1986) (Coktel Vision) [a1].k7",38369,k7,LOAD,not_tested,
4CA7DBFD,"Malediction de Thaar, La","Malediction de Thaar, La (1986) (Coktel Vision).k7",38316,k7,LOAD,not_tested,
3622AA86,"Malediction de Thaar, La","Malediction de Thaar, La (Italian Version) (1986) (Coktel Vision).k7",52842,k7,LOAD,not_tested,
86AC96B4,Mandragore,Mandragore (1984) (Infogrames) (Part 1 of 3) [b1].k7,40521,k7,LOADM,not_tested,
35D1B2CD,Mandragore,Mandragore (1984) (Infogrames) (Part 2 of 3) [b1].k7,57172,k7,LOADM,not_tested,
F74D8A8B,Mandragore,Mandragore (1984) (Infogrames) (Part 3 of 3) [b1].k7,47854,k7,LOADM,not_tested,
F2DEBB3F,Marathon Cosmicque,Marathon Cosmicque (1985) (Julien Campagne) (PD).k7,24081,k7,unknown,not_tested,
59F704A3,Mcass,Mcass (1985) (PD).k7,3674,k7,LOADM,not_tested,
B03EA7D5,Mdsk,Mdsk (1985) (PD).k7,3674,k7,LOADM,not_tested,
D2EBF921,Megawatt,Megawatt (1987) (EDF) (Part 1 of 2).k7,53035,k7,LOAD,not_tested,
A6281D4E,Megawatt,Megawatt (1987) (EDF) (Part 2 of 2).k7,53035,k7,LOAD,not_tested,
07F172D0,Melodimus,Melodimus (1984) (Logimus) [a1].k7,23161,k7,unknown,not_tested,
D2CF4E4F,Melodimus,Melodimus (1984) (Logimus).k7,23170,k7,unknown,not_tested,
A966B643,Memo7 by Jean-Yves Le Friec,Memo7 by Jean-Yves Le Friec (1983) (PD).k7,6853,k7,LOAD,not_tested,
BC853288,Memory,Memory (1985) (Daniel Coulom) (PD).k7,13947,k7,LOAD,not_tested,
39ACBB41,Mes premiers mots croises v1.1,Mes premiers mots croises v1.1 (1983) (Vifi-Nathan).k7,21236,k7,LOAD,not_tested,
A47EAB9A,Mes premiers mots croises v1.2,Mes premiers mots croises v1.2 (1983) (Vifi-Nathan) [a1].k7,19174,k7,LOAD,not_tested,
A923A0E2,Mes premiers mots croises v1.2,Mes premiers mots croises v1.2 (1983) (Vifi-Nathan).k7,19166,k7,LOAD,not_tested,
36D056F7,Mesure du Temps,Mesure du Temps (1985) (Cedic-Nathan).k7,16252,k7,LOAD,not_tested,
71B24444,Meteo 7,Meteo 7 (1984) (Infogrames).k7,10641,k7,LOAD,not_tested,
6E782698,Micro Scrabble,Micro Scrabble (1985) (Leisure Genius).k7,31042,k7,LOAD,not_tested,
3B429A24,Microscillo,Microscillo (1984) (Infogrames).k7,23382,k7,LOAD,not_tested,
F4C549B2,"Mine aux Diamants, La","Mine aux Diamants, La (198x) (Infogrames) [b1].k7",27222,k7,unknown,not_tested,
9003CC2E,Miner 2049er,Miner 2049er (1985) (International Computer Group) [b1].k7,32768,k7,unknown,not_tested,
31DDC7B8,Minidesa,Minidesa (198x) (PD).k7,9153,k7,LOAD,not_tested,
6E6D9BEE,Minotaure 3D,Minotaure 3D (1985) (Loriciels) [f1].k7,17390,k7,LOAD,not_tested,
A1C5B72E,Minotaure 3D,Minotaure 3D (1985) (Loriciels).k7,17760,k7,LOAD,not_tested,
AF73A382,Minotaure Educatif,Minotaure Educatif (1984) (Hatier) [a1].k7,15346,k7,LOAD,not_tested,
ECA56BE7,Minotaure Educatif,Minotaure Educatif (1984) (Hatier) [a2].k7,15444,k7,LOAD,not_tested,
D5A10E54,Minotaure Educatif,Minotaure Educatif (1984) (Hatier).k7,15576,k7,unknown,not_tested,
21F3D27B,Mission en Rafale,Mission en Rafale (1987) (FIL).k7,31529,k7,LOAD,not_tested,
6913053B,Mission pas Possible,Mission pas Possible (198x) (Infogrames).k7,24176,k7,LOAD,not_tested,
C974F5E7,Mission U-72,Mission U-72 (1986) (Hebdogiciel) (PD).k7,24065,k7,LOAD,not_tested,
7384116E,Missions en Rafale,Missions en Rafale (1987) (FIL).k7,30907,k7,LOAD,not_tested,
F0EA9140,mo5,mo5.rom,4096,cartridge,cartridge,not_tested,
4F7B87D3,MO5 Compilation Disk,MO5 Compilation Disk (198x) (PD).k7,47432,k7,LOADM,not_tested,
6520213A,mo5e,mo5e.rom,4096,cartridge,cartridge,not_tested,
06E31115,mo5nr-0,mo5nr-0.rom,4096,cartridge,cartridge,not_tested,
7CDA17C9,mo5nr-1,mo5nr-1.rom,4096,cartridge,cartridge,not_tested,
0446EEF6,mo6-0,mo6-0.rom,4096,cartridge,cartridge,not_tested,
EB6DF8D4,mo6-1,mo6-1.rom,4096,cartridge,cartridge,not_tested,
71012D1D,Modifatt,Modifatt (198x) (PD).k7,1739,k7,LOAD,not_tested,
265CE965,Mon General,Mon General (198x) (Loriciels).k7,47922,k7,LOAD,not_tested,
329AD3D8,Mongolfiere,Mongolfiere (1985) (Cedic-Nathan).k7,15076,k7,LOAD,not_tested,
ED06EE0F,Monopolic,Monopolic (198x) (Free Game Blot).k7,19234,k7,unknown,not_tested,
AB140366,Monopoly,Monopoly (198x) (Leisure Genius) [a1].k7,65536,k7,LOAD,not_tested,
119A4016,Monopoly,Monopoly (198x) (Leisure Genius).k7,47640,k7,LOAD,not_tested,
7F14DC07,Monster mine,Monster mine (1985) (FIL).k7,12777,k7,LOAD,not_tested,
331BC6D6,Monte Carlo,Monte Carlo (1984) (Loriciels).k7,53439,k7,LOAD,not_tested,
3CE78DFC,"Mot pour le compte, Un","Mot pour le compte, Un (1983) (Vifi-Nathan).k7",13726,k7,LOAD,not_tested,
BD27B69A,Mpendu,Mpendu (1984) (CNDP).k7,17203,k7,LOAD,not_tested,
2D02DB0E,Multiplication,Multiplication (1985) (Cedic-Nathan).k7,15630,k7,LOAD,not_tested,
5B9B7F54,Multiplications casse-tete,Multiplications casse-tete (1984) (Vifi-Nathan) [a1].k7,30967,k7,LOAD,not_tested,
DFCA6A0D,Multiplications casse-tete,Multiplications casse-tete (1984) (Vifi-Nathan).k7,39458,k7,LOAD,not_tested,
CDA89980,"Mystery de Ming-Fonko, Le","Mystery de Ming-Fonko, Le (1986) (PD).k7",22627,k7,LOAD,not_tested,
2621E3C2,Navire,Navire (1985) (USTL).k7,17419,k7,LOAD,not_tested,
A93CB758,"Nombre cache, Le","Nombre cache, Le (198x) (PD).k7",18346,k7,LOAD,not_tested,
0FE72A9D,"Nuit des Templiers, La","Nuit des Templiers, La (1986) (Coktel Vision) [b1].k7",32768,k7,LOADM,not_tested,
5358EEE1,"Nuit des Templiers, La","Nuit des Templiers, La (1986) (Coktel Vision).k7",32768,k7,LOADM,not_tested,
DD32E370,"Nuit des Templiers, La","Nuit des Templiers, La (1986) (FIL).k7",29627,k7,LOAD,not_tested,
879F4F6A,Numero 10,Numero 10 (1985) (FIL) [a1].k7,22556,k7,LOAD,not_tested,
1F4E10D1,Numero 10,Numero 10 (1985) (FIL) [a2].k7,32768,k7,LOAD,not_tested,
382A11BB,Numero 10,Numero 10 (1985) (FIL).k7,22420,k7,LOAD,not_tested,
908FFD25,"Numero 10, Mexico 86","Numero 10, Mexico 86 (1986) (FIL).k7",25209,k7,LOAD,not_tested,
5A30EB5D,Ordidactic,Ordidactic (1984) (Ere Informatique).k7,9984,k7,LOAD,not_tested,
E2B124C2,Ordre de grandeur,Ordre de grandeur (198x) (Nathan Ecoles).k7,17014,k7,unknown,not_tested,
5AA6AB58,Orthographe Lexicale,Orthographe Lexicale (1984) (CNDP).k7,332492,k7,LOAD,not_tested,
2586C1AE,Pac-Man,Pac-Man (1986) (Theophile).k7,7861,k7,LOAD,not_tested,
95918135,Pac-Man 2,Pac-Man 2 (1985-98) (Remi Coulom) (PD).k7,16476,k7,LOAD,not_tested,
C02BB7AA,Panique Atomique chez Novasprite,Panique Atomique chez Novasprite (1985) (Novasoft).k7,23796,k7,LOAD,not_tested,
3BA67057,Pascal base v1.0,Pascal base v1.0 (1985) (Free Game Blot).k7,28323,k7,LOAD,not_tested,
618BA2E3,"Pendu, Le","Pendu, Le (1982) (CNDP).k7",16431,k7,LOAD,not_tested,
C900F763,Phone8,Phone8 (198x) (PD).k7,1220,k7,LOAD,not_tested,
844B3F1D,Picture Print,Picture Print (198x) (PD).k7,327,k7,LOAD,not_tested,
F6C260DF,Pilot et Pingo,Pilot et Pingo (198x) (Infogrames).k7,17444,k7,LOAD,not_tested,
9BACEE41,Pingo,Pingo (198x) (Infogrames).k7,10943,k7,LOAD,not_tested,
4EF0D7CB,"Planete Inconnue, La","Planete Inconnue, La (1986) (Coktel Vision).k7",32881,k7,unknown,not_tested,
63E2792E,"Planete Inconnue, La","Planete Inconnue, La (1986) (FIL).k7",39713,k7,LOAD,not_tested,
6C6BA04D,Pluriel des noms simples,Pluriel des noms simples (198x) (CNDP).k7,3185,k7,LOAD,not_tested,
088CBDB2,"Plus beau puzzle, Le","Plus beau puzzle, Le (1985) (Cedic-Nathan).k7",22702,k7,LOAD,not_tested,
94924766,Poker,Poker (198x) [b1].k7,20675,k7,LOAD,not_tested,
26123C55,Politique Economique,Politique Economique (1984) (Answare).k7,19274,k7,LOAD,not_tested,
B45AF8B6,Pong 7300,Pong 7300 (198x) [b1].k7,1709,k7,LOADM,not_tested,
08032EFF,Popeye,Popeye (1988) (Christopher Lesur) (PD).k7,4219,k7,LOAD,not_tested,
3951BD6A,Poseidon,Poseidon (1986) (Coktel Vision).k7,34250,k7,LOAD,not_tested,
8B3A6857,Poseidon,Poseidon (Italian Version) (1986) (Coktel Vision).k7,33216,k7,LOAD,not_tested,
437D2474,Pour 20 Millions de Dollars,Pour 20 Millions de Dollars (198x) (SoftBook) [a1].k7,56529,k7,LOAD,not_tested,
448D6B10,Pour 20 Millions de Dollars,Pour 20 Millions de Dollars (198x) (SoftBook).k7,87266,k7,unknown,not_tested,
BC0A3D98,Pourcentages,Pourcentages (198x) (PD).k7,11543,k7,LOAD,not_tested,
138A5B01,Pr,Pr (198x) (PD).k7,464,k7,LOAD,not_tested,
1DDA212E,Premier pas vers le BASIC 1,Premier pas vers le BASIC 1 (1984) (Vifi-Nathan).k7,90220,k7,LOAD,not_tested,
96856C10,Premier pas vers le BASIC 2,Premier pas vers le BASIC 2 (1984) (Vifi-Nathan).k7,89914,k7,LOAD,not_tested,
53FE3906,Preterit star,Preterit star (198x) (Hatier).k7,34684,k7,unknown,not_tested,
A8AEF291,pro128-0,pro128-0.rom,4096,cartridge,cartridge,not_tested,
5B3340EC,pro128-1,pro128-1.rom,4096,cartridge,cartridge,not_tested,
